iter	Passed	Remaining
1159	16103	122717
1160	16117	122708
1161	16132	122698
1162	16146	122685
1163	16158	122658
1164	16171	122638
1165	16184	122619
1166	16199	122611
1167	16212	122594
1168	16225	122570
1169	16237	122547
1170	16250	122524
1171	16264	122511
1172	16277	122493
1173	16289	122463
1174	16303	122451
1175	16317	122435
1176	16330	122417
1177	16342	122391
1178	16354	122358
1179	16367	122342
1180	16383	122341
1181	16397	122327
1182	16409	122299
1183	16420	122265
1184	16433	122248
1185	16446	122228
1186	16462	122226
1187	16476	122214
1188	16489	122196
1189	16502	122170
1190	16516	122157
1191	16530	122145
1192	16543	122125
1193	16558	122122
1194	16569	122090
1195	16583	122071
1196	16596	122055
1197	16610	122042
1198	16621	122009
1199	16632	121974
1200	16647	121962
1201	16660	121947
1202	16673	121928
1203	16686	121905
1204	16700	121891
1205	16713	121869
1206	16726	121851
1207	16739	121834
1208	16751	121806
1209	16764	121786
1210	16778	121770
1211	16791	121753
1212	16803	121727
1213	16816	121701
1214	16829	121686
1215	16843	121673
1216	16857	121660
1217	16872	121651
1218	16882	121612
1219	16896	121598
1220	16909	121582
1221	16924	121573
1222	16937	121552
1223	16949	121524
1224	16961	121496
1225	16974	121479
1226	16988	121465
1227	17002	121456
1228	17014	121426
1229	17027	121410
1230	17040	121390
1231	17053	121370
1232	17067	121353
1233	17079	121325
1234	17093	121312
1235	17107	121299
1236	17120	121284
1237	17134	121268
1238	17146	121240
1239	17159	121224
1240	17173	121211
1241	17188	121205
1242	17204	121204
1243	17218	121192
1244	17232	121182
1245	17243	121148
1246	17256	121125
1247	17269	121111
1248	17283	121096
1249	17294	121063
1250	17308	121051
1251	17322	121035
1252	17335	121014
1253	17347	120992
1254	17359	120963
1255	17373	120953
1256	17387	120936
1257	17401	120924
1258	17414	120908
1259	17425	120873
1260	17439	120860
1261	17452	120837
1262	17466	120826
1263	17480	120814
1264	17491	120781
1265	17504	120762
1266	17518	120749
1267	17531	120731
1268	17551	120759
1269	17572	120794
1270	17589	120798
1271	17606	120810
1272	17624	120825
1273	17644	120852
1274	17658	120837
1275	17671	120820
1276	17685	120805
1277	17699	120791
1278	17711	120769
1279	17722	120736
1280	17734	120705
1281	17748	120692
1282	17762	120679
1283	17776	120669
1284	17789	120648
1285	17801	120621
1286	17815	120610
1287	17827	120583
1288	17842	120576
1289	17854	120551
1290	17867	120530
1291	17880	120515
1292	17894	120498
1293	17909	120494
1294	17926	120505
1295	17942	120502
1296	17956	120490
1297	17967	120454
1298	17980	120440
1299	17996	120440
1300	18011	120428
1301	18025	120420
1302	18039	120404
1303	18050	120374
1304	18064	120360
1305	18077	120342
1306	18090	120321
1307	18104	120311
1308	18116	120283
1309	18131	120273
1310	18144	120259
1311	18158	120245
1312	18172	120233
1313	18184	120205
1314	18196	120180
1315	18210	120168
1316	18224	120155
1317	18238	120140
1318	18250	120117
1319	18261	120081
1320	18274	120066
1321	18288	120051
1322	18302	120036
1323	18313	120006
1324	18327	119991
1325	18339	119968
1326	18353	119952
1327	18367	119943
1328	18379	119914
1329	18393	119902
1330	18406	119887
1331	18421	119876
1332	18434	119857
1333	18445	119824
1334	18458	119804
1335	18472	119791
1336	18486	119782
1337	18500	119768
1338	18512	119741
1339	18526	119730
1340	18539	119714
1341	18555	119711
1342	18569	119701
